epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2633,1.42511,2.94146,1.50204,0.37676,0.3143,0.27696,0.14502,1.55273,2.10466,1.51125,0.000236065,0.000236065,0.000236065
2,97.5188,1.34238,1.97563,1.47075,0.49341,0.39492,0.39787,0.21134,1.46154,1.76873,1.46345,0.000469372,0.000469372,0.000469372
3,144.533,1.32288,1.78247,1.445,0.52611,0.39224,0.41231,0.21785,1.51725,1.73815,1.47822,0.000697966,0.000697966,0.000697966
4,190.696,1.2975,1.67993,1.42434,0.60749,0.41027,0.45807,0.25195,1.45322,1.6753,1.43867,0.000692794,0.000692794,0.000692794
5,238.989,1.25915,1.6035,1.39876,0.59052,0.43035,0.45874,0.2507,1.41977,1.64388,1.4286,0.000685726,0.000685726,0.000685726
6,286.053,1.23999,1.55502,1.37856,0.63049,0.46546,0.50506,0.27909,1.38332,1.50565,1.3858,0.000678657,0.000678657,0.000678657
7,333.501,1.22596,1.49368,1.36853,0.68019,0.47756,0.53461,0.30385,1.37005,1.43501,1.36875,0.000671588,0.000671588,0.000671588
8,381.059,1.20531,1.47562,1.3559,0.68194,0.48284,0.53609,0.29897,1.34734,1.45751,1.35259,0.00066452,0.00066452,0.00066452
9,428.237,1.19844,1.39715,1.33691,0.70336,0.49468,0.56272,0.32208,1.34097,1.37485,1.34128,0.000657451,0.000657451,0.000657451
10,477.169,1.17493,1.379,1.32295,0.7065,0.51659,0.57379,0.32996,1.32145,1.30745,1.33895,0.000650383,0.000650383,0.000650383
11,527.022,1.14869,1.32044,1.30671,0.70214,0.52711,0.58906,0.3348,1.34776,1.30972,1.33757,0.000643314,0.000643314,0.000643314
12,576.679,1.16006,1.30608,1.30849,0.69874,0.53807,0.59134,0.34069,1.30567,1.24397,1.31307,0.000636245,0.000636245,0.000636245
13,624.663,1.1437,1.27863,1.30074,0.73784,0.53855,0.61038,0.35169,1.29,1.22601,1.28618,0.000629177,0.000629177,0.000629177
14,672.273,1.13315,1.27473,1.2943,0.74487,0.56156,0.62741,0.3673,1.26159,1.15948,1.28391,0.000622108,0.000622108,0.000622108
15,720.62,1.1337,1.23797,1.28397,0.71783,0.54925,0.61624,0.36582,1.25971,1.18105,1.276,0.00061504,0.00061504,0.00061504
16,768.87,1.11717,1.21045,1.2779,0.7569,0.54727,0.62958,0.36659,1.26669,1.16743,1.27687,0.000607971,0.000607971,0.000607971
17,817.122,1.10473,1.19898,1.27168,0.75347,0.56793,0.6399,0.38197,1.24184,1.14215,1.26182,0.000600902,0.000600902,0.000600902
18,865.783,1.10294,1.15712,1.26892,0.74545,0.58118,0.65022,0.39184,1.23649,1.10361,1.24946,0.000593834,0.000593834,0.000593834
19,914.257,1.10158,1.15614,1.26549,0.75456,0.56091,0.63402,0.37925,1.25207,1.13211,1.25927,0.000586765,0.000586765,0.000586765
