timestamp,violation
2026-04-10 10:57:24,NO-Safety Vest
2026-04-10 10:57:24,NO-Hardhat
2026-04-10 10:57:24,NO-Mask
2026-04-10 10:57:24,NO-Safety Vest
2026-04-10 10:57:25,NO-Mask
2026-04-10 10:57:25,NO-Safety Vest
2026-04-10 10:57:26,NO-Hardhat
2026-04-10 10:57:26,NO-Mask
2026-04-10 10:57:26,NO-Safety Vest
2026-04-10 10:57:27,NO-Mask
2026-04-10 10:57:27,NO-Safety Vest
2026-04-10 11:09:17,NO-Hardhat
2026-04-10 11:09:17,NO-Mask
2026-04-10 11:09:18,NO-Hardhat
2026-04-10 11:09:18,NO-Mask
2026-04-10 11:09:18,NO-Safety Vest
2026-04-10 11:13:46,NO-Safety Vest
2026-04-10 11:13:48,NO-Hardhat
2026-04-10 11:13:48,NO-Mask
2026-04-10 11:13:48,NO-Safety Vest
2026-04-10 11:22:59,NO-Safety Vest
2026-04-10 11:23:06,NO-Safety Vest
2026-04-10 11:23:08,NO-Safety Vest
2026-04-10 11:23:19,NO-Mask
2026-04-10 11:23:20,NO-Hardhat
2026-04-10 11:23:20,NO-Mask
2026-04-10 11:23:20,NO-Safety Vest
2026-04-10 11:23:40,NO-Hardhat
2026-04-10 11:23:40,NO-Mask
2026-04-10 11:23:40,NO-Safety Vest
2026-04-10 11:23:53,NO-Hardhat
2026-04-10 11:23:53,NO-Mask
2026-04-10 11:23:53,NO-Safety Vest
2026-04-10 18:51:01,NO-Hardhat
2026-04-10 18:51:01,NO-Mask
2026-04-10 18:51:01,NO-Safety Vest
2026-04-10 18:55:29,NO-Safety Vest
2026-04-10 18:55:29,NO-Hardhat
2026-04-10 18:55:29,NO-Mask
2026-04-10 18:58:08,NO-Mask
2026-04-10 18:58:08,NO-Safety Vest
2026-04-10 18:58:08,NO-Hardhat
2026-04-10 18:59:59,NO-Mask
2026-04-10 18:59:59,NO-Safety Vest
2026-04-10 18:59:59,NO-Hardhat
2026-04-10 19:00:24,NO-Hardhat
2026-04-10 19:00:47,NO-Mask
2026-04-10 19:00:47,NO-Safety Vest
2026-04-10 19:00:47,NO-Hardhat
2026-04-10 19:01:15,NO-Mask
2026-04-10 19:01:15,NO-Safety Vest
2026-04-10 19:01:15,NO-Hardhat
2026-04-10 19:02:01,NO-Mask
2026-04-10 19:02:01,NO-Safety Vest
2026-04-10 19:02:01,NO-Hardhat
2026-04-10 19:02:34,NO-Safety Vest
2026-04-10 19:02:34,NO-Mask
2026-04-10 19:02:34,NO-Hardhat
